2026-01-02 12:40:32,496 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2026-01-02 12:40:32,502 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/kal/.local/share/applications/com.github.amezin.ddterm.desktop": constructor returned NULL
2026-01-02 12:40:32,512 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.dhelmr.ulauncher-tldr" started. PID 59020
2026-01-02 12:40:32,513 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.andr3slelouch.ulauncher-gnome-extensions-prefs" started. PID 59018
2026-01-02 12:40:32,516 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.barathbheeman.vsw-extension" started. PID 59021
2026-01-02 12:40:32,521 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.friday.ulauncher-gnome-settings" started. PID 59023
2026-01-02 12:40:32,528 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.hillaryychan.ulauncher-fzf" started. PID 59025
2026-01-02 12:40:32,531 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.iboyperson.ulauncher-system" started. PID 59027
2026-01-02 12:40:32,536 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.katacarbix.ulauncher-dict-en" started. PID 59030
2026-01-02 12:40:32,646 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.kcoovi.ulauncher-link-opener" started. PID 59031
2026-01-02 12:40:32,653 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ulauncher.ulauncher-emoji" started. PID 59037
2026-01-02 12:40:32,657 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.ulauncher.ulauncher-kill" started. PID 59039
2026-01-02 12:40:32,662 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.zensoup.ulauncher-unicode" started. PID 59041
2026-01-02 12:40:32,736 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 83 apps in cache
2026-01-02 12:40:32,824 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary>space
2026-01-02 12:40:32,873 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 82 apps in the system
2026-01-02 12:40:32,873 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.38 seconds
2026-01-02 12:40:32,905 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2026-01-02 12:40:33,172 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.friday.ulauncher-gnome-settings" connected
2026-01-02 12:40:33,173 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.friday.ulauncher-gnome-settings"
2026-01-02 12:40:33,373 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.barathbheeman.vsw-extension" connected
2026-01-02 12:40:33,374 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.barathbheeman.vsw-extension"
2026-01-02 12:40:33,595 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.iboyperson.ulauncher-system" connected
2026-01-02 12:40:33,596 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.iboyperson.ulauncher-system"
2026-01-02 12:40:33,603 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.hillaryychan.ulauncher-fzf" connected
2026-01-02 12:40:33,603 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.hillaryychan.ulauncher-fzf"
2026-01-02 12:40:33,635 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.kcoovi.ulauncher-link-opener" connected
2026-01-02 12:40:33,635 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.kcoovi.ulauncher-link-opener"
2026-01-02 12:40:33,814 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.dhelmr.ulauncher-tldr" connected
2026-01-02 12:40:33,815 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.dhelmr.ulauncher-tldr"
2026-01-02 12:40:33,860 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.ulauncher.ulauncher-emoji" connected
2026-01-02 12:40:33,860 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ulauncher.ulauncher-emoji"
2026-01-02 12:40:33,878 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.andr3slelouch.ulauncher-gnome-extensions-prefs" connected
2026-01-02 12:40:33,878 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.andr3slelouch.ulauncher-gnome-extensions-prefs"
2026-01-02 12:40:33,881 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.ulauncher.ulauncher-kill" connected
2026-01-02 12:40:33,881 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ulauncher.ulauncher-kill"
2026-01-02 12:40:33,984 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.zensoup.ulauncher-unicode" connected
